11110030|11
11110037|11
12104013|1
12104029|12
12104054|12
12104055|9
12104056|8
12104058|12
12104089|13
12104107|13
12104118|12
12104122|12
12104135|8
12105016|11
12105066|12
12108004|9
12108009|10
12108011|13
12108019|12
12108031|13
12108035|9
12108075|12
12108137|5
12110009|13
12110010|13
12110028|13
12110032|12
12110035|12
12110046|13
12110055|13
12110056|10
12110057|12
12110060|12
12110061|13
12111021|3
13104002|13
13104005|13
13104009|13
13104011|12
13104013|13
13104014|13
13104016|11
13104020|9
13104023|13
13104025|10
13104028|11
13104030|13
13104031|12
13104036|12
13104038|1
13104042|9
13104050|12
13104054|12
13104056|4
13104057|11
13104065|13
13104066|11
13104070|13
13104071|13
13104074|13
13104075|12
13104076|12
13104078|12
13104079|7
13104083|12
13104088|13
13104091|12
13104092|13
13104095|13
13104098|11
13104101|13
13104102|11
13104105|13
13104106|13
13104107|11
13104109|13
13104112|11
13104114|12
13104115|13
13104119|10
13104121|12
13104122|12
13104126|11
13104127|6
13104134|13
13104141|1
13104147|13
13104148|13
13104151|12
13108001|13
13108002|13
13108003|13
13108004|13
13108005|13
13108006|11
13108007|13
13108008|13
13108009|13
13108010|9
13108011|13
13108012|13
13108013|13
13108014|13
13108015|13
13108016|13
13108017|13
13108018|13
13108019|11
13108020|13
13108021|13
13108022|12
13108023|13
13108024|12
13108025|13
13108026|13
13108027|13
13108028|12
13108029|13
13108030|13
13108031|13
13108032|13
13108033|13
13108034|13
13108035|13
13108036|2
13108037|13
13108038|12
13108039|12
13108040|13
13108041|13
13108042|13
13108043|13
13108044|13
13108045|13
13108046|13
13108047|13
13108048|12
13108049|13
13108050|13
13108051|13
13108052|13
13108053|12
13108054|9
13108055|13
13108056|12
13108057|13
13108058|13
13108059|13
13108060|13
13108061|13
13108062|13
13108063|13
13108064|13
13108065|12
13108066|13
13108067|12
13108068|12
13108069|12
13108070|13
13108071|13
13108072|12
13108073|11
13108074|12
13108076|12
13108077|13
13108078|9
13108079|13
13108080|12
13108081|12
13108082|11
13108083|11
13108084|13
13108085|10
13108086|13
13108087|13
13108089|12
13108090|13
13108091|12
13108092|13
13108093|10
13108094|13
13108095|13
13108096|13
13108097|13
13108098|11
13108099|13
13108100|13
13108101|12
13108102|12
13108103|11
13108104|13
13108105|13
13108106|13
13108107|10
13108108|11
13108109|12
13108110|13
13108111|12
13108113|13
13108114|13
13108115|13
13108116|13
13108117|13
13108119|13
13108120|13
13108121|10
13108122|12
13108123|10
13108124|11
13108125|13
13108126|11
13108127|13
13108128|13
13108129|10
13108130|10
13109056|1
13111001|12
13111002|13
13111003|9
13111004|12
13111005|9
13111006|12
13111007|10
13111008|11
13111009|12
13111010|13
13111011|6
13111012|13
13111013|10
13111015|11
13111016|10
13111017|12
13111018|12
13111019|12
13111020|12
13111022|2
13111023|13
13111024|11
13111025|13
13111026|13
13111027|13
13111028|11
13111029|8
13111030|13
13111031|13
13111032|12
13111033|13
13111034|13
13111035|12
13111036|9
13111037|10
13111038|10
13111039|13
13111040|9
13111041|12
13111042|12
13111043|4
13111044|11
13111045|9
13111046|13
13111047|13
13111048|12
13111050|10
13111051|11
13111052|12
14104084|1
14104120|1
14104132|1
14109034|1
14109046|1
hkimura|1
yoshino|7
